# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
 117    2320.00    2340.00  6.106784895021548E-09  1.081447386710088E-08 186969
 118    2340.00    2360.00 -8.462355969609527E-09  9.511801955566719E-09 179070
 119    2360.00    2380.00  1.851008336935874E-08  9.578911033468256E-09 172647
 120    2380.00    2400.00 -4.440632419019199E-08  5.004279316274668E-08 166375
 121    2400.00    2420.00  1.866120089199025E-08  6.418135722618635E-09 160480
 122    2420.00    2440.00 -9.359855432303744E-10  6.026916723405245E-09 155334
 123    2440.00    2460.00  6.627427121600149E-09  5.155922800310718E-09 149393
 124    2460.00    2480.00  3.691958343794182E-09  5.372010404444565E-09 144756
 125    2480.00    2500.00  5.279525642292951E-09  2.448999561998289E-09 138790
 126    2500.00    2520.00  3.736435562940758E-09  2.676068850888226E-09 133775
 127    2520.00    2540.00 -9.121122284251412E-10  6.877687589100659E-09 130050
 128    2540.00    2560.00  8.340493725801706E-09  4.546584114344218E-09 124530
 129    2560.00    2580.00  5.978211359475888E-09  2.588035459623912E-09 120779
 130    2580.00    2600.00  2.444181331823607E-09  2.316069014781162E-09 116296
 131    2600.00    2620.00  2.589179738453222E-11  2.339158407153451E-09 112302
 132    2620.00    2640.00  4.357186746716997E-09  2.884914759414672E-09 108070
 133    2640.00    2660.00  4.268497799397677E-09  2.363317681061275E-09 104506
 134    2660.00    2680.00  1.802376157317825E-09  1.540105803756143E-09 100170
 135    2680.00    2700.00  4.081498340244475E-09  2.393006312755548E-09 97147
 136    2700.00    2720.00  1.338010079543060E-09  2.436857976154606E-09 93715
 137    2720.00    2740.00  2.397645916890098E-09  1.331023575302805E-09 90612
 138    2740.00    2760.00  1.886836598391201E-09  1.069578199555168E-09 87191
 139    2760.00    2780.00  1.514344244871846E-10  1.510514579245817E-09 84465
 140    2780.00    2800.00  1.754915172119537E-09  1.720326299436460E-09 81466
 141    2800.00    2820.00  2.538878090321277E-09  8.486334421641087E-10 78567
 142    2820.00    2840.00 -9.828605479488682E-10  1.258164465731774E-09 75883
 143    2840.00    2860.00 -1.302812284382878E-09  2.468660780748543E-09 72951
 144    2860.00    2880.00  1.477372165349431E-09  5.878652081805522E-10 70597
 145    2880.00    2900.00  9.215103939482142E-10  6.793785513818857E-10 67740
 146    2900.00    2920.00  1.048436663898218E-09  5.572768696331709E-10 65659
 147    2920.00    2940.00  8.247794120631302E-10  8.138075360776426E-10 63400
 148    2940.00    2960.00  7.623596687893445E-10  4.744241033965119E-10 61159
 149    2960.00    2980.00  1.151952716398576E-09  5.775337308488813E-10 59121
 150    2980.00    3000.00  2.833331099650440E-10  6.371409173812392E-10 56546
 151    3000.00    3020.00 -2.162564633219420E-09  2.138205016095260E-09 54785
 152    3020.00    3040.00  5.854556411334343E-10  1.038645389102736E-09 52846
 153    3040.00    3060.00  1.498320283327105E-09  8.483836973471006E-10 50958
 154    3060.00    3080.00  2.056135365260041E-09  1.424652186032291E-09 49503
 155    3080.00    3100.00  2.909088362504678E-10  3.478205890535340E-10 47525
 156    3100.00    3120.00  4.227062143281589E-10  1.954006756764317E-10 45739
 157    3120.00    3140.00  6.285792150184403E-10  3.019500788698598E-10 43444
 158    3140.00    3160.00  5.349234340841592E-10  2.450110863766571E-10 42504
 159    3160.00    3180.00  2.876247657720522E-10  3.201176643014005E-10 41323
 160    3180.00    3200.00  2.189998254322087E-10  1.869660908729138E-10 39764
 161    3200.00    3220.00 -3.010504928733572E-10  2.963931077756594E-10 38384
 162    3220.00    3240.00  5.318990080802108E-10  1.080452914777195E-10 36994
 163    3240.00    3260.00  8.117507666386038E-11  1.074870551853268E-10 35452
 164    3260.00    3280.00  1.757039527592707E-10  1.058518568233587E-10 34633
 165    3280.00    3300.00 -1.573070505452842E-10  2.828194057403973E-10 33026
 166    3300.00    3320.00  2.278542365327989E-10  3.065084639820537E-10 31584
 167    3320.00    3340.00  2.514410115351433E-10  1.176559492109752E-10 30828
 168    3340.00    3360.00  2.674389504072216E-10  8.570930962940539E-11 29842
 169    3360.00    3380.00 -4.862239989553134E-10  4.034216491998803E-10 28566
 170    3380.00    3400.00  9.685638863049607E-11  5.738856092669982E-11 27479
 171    3400.00    3420.00 -6.944242357637492E-11  2.344225684831431E-10 26304
 172    3420.00    3440.00  8.876410846694155E-11  8.369156269236873E-11 25372
 173    3440.00    3460.00  9.214894564387220E-11  3.542841304852361E-11 24967
 174    3460.00    3480.00  5.321463134184677E-11  2.607072148227760E-11 23783
 175    3480.00    3500.00  5.076574396378625E-11  4.107184397145050E-11 22685
 176    3500.00    3520.00  3.497459592513515E-11  3.503511156730325E-11 21752
 177    3520.00    3540.00  5.409751653674338E-11  2.107642980807786E-11 21287
 178    3540.00    3560.00  6.019703743722936E-11  3.054550894281263E-11 20366
 179    3560.00    3580.00 -2.952386646903954E-11  4.706140628902959E-11 19910
 180    3580.00    3600.00 -1.169955342732579E-11  5.255407273297950E-11 19112
 181    3600.00    3620.00  1.906803344159673E-11  1.855525856355616E-11 18613
 182    3620.00    3640.00  3.422041595846435E-11  2.295263312579339E-11 17781
 183    3640.00    3660.00  3.717100287698952E-11  3.965451727767474E-11 17172
 184    3660.00    3680.00 -9.854945502053615E-11  1.284341758971684E-10 16326
 185    3680.00    3700.00  4.019792472883147E-11  1.167097844297844E-11 15747
 186    3700.00    3720.00  4.766074114748377E-11  4.008527412511893E-11 15393
 187    3720.00    3740.00  2.946189076851117E-11  5.266918189790813E-11 14737
 188    3740.00    3760.00 -5.487499175743200E-11  4.580886808174313E-11 13993
 189    3760.00    3780.00 -2.620057181094959E-11  3.894987161519216E-11 13670
 190    3780.00    3800.00  1.950687396403268E-11  1.690632797798909E-11 13032
 191    3800.00    3820.00 -1.957891157062551E-11  2.227675962426415E-11 12591
 192    3820.00    3840.00  4.412350759616243E-12  1.025071988834947E-11 12146
 193    3840.00    3860.00  1.939069508635137E-11  9.222082655979805E-12 11705
 194    3860.00    3880.00  2.576470904573505E-12  4.434483899380546E-12 11268
 195    3880.00    3900.00  1.182864875428190E-11  2.687989424834473E-12 10716
 196    3900.00    3920.00  2.740083309059096E-12  6.165064677548617E-12 10437
 197    3920.00    3940.00  5.680300556059145E-12  6.415925221615917E-12 10083
 198    3940.00    3960.00  9.575173973249024E-12  5.573691123466312E-12 9644
 199    3960.00    3980.00 -7.782263252891774E-12  1.635631186069623E-11 9252
 200    3980.00    4000.00 -1.175438274756617E-10  1.225045690421396E-10 8850
 201    4000.00    4020.00 -1.558922582832606E-11  1.487580679565900E-11 8502
 202    4020.00    4040.00  3.925445188304903E-12  5.549818560217277E-12 8000
 203    4040.00    4060.00  3.287409347886119E-12  1.104086825343189E-12 7929
 204    4060.00    4080.00  4.063877794974368E-12  3.880286977815592E-12 7671
 205    4080.00    4100.00  2.576763889738663E-12  3.432213172296444E-12 7210
 206    4100.00    4120.00  1.605145993882636E-12  9.080812908094529E-13 7057
 207    4120.00    4140.00  1.179164457281292E-12  2.298333361461795E-12 6719
 208    4140.00    4160.00 -8.645811794862726E-16  2.435754620875963E-12 6377
 209    4160.00    4180.00  9.030979044627501E-13  2.424382997942839E-12 6206
 210    4180.00    4200.00  2.710663349859854E-13  8.304186519942381E-13 6098
 211    4200.00    4220.00  2.913827247066516E-13  5.488602194390749E-13 5684
 212    4220.00    4240.00  8.987600471476785E-13  4.259095493550619E-13 5522
 213    4240.00    4260.00  5.838286218577326E-13  1.910713852613695E-13 5147
 214    4260.00    4280.00 -5.165000947581889E-13  1.131135151345969E-12 5023
 215    4280.00    4300.00  6.371037366971026E-13  2.675489586575679E-13 4850
 216    4300.00    4320.00  1.572014614712985E-12  9.622529688230510E-13 4687
 217    4320.00    4340.00 -4.323668098395856E-13  9.289732279387537E-13 4477
 218    4340.00    4360.00  4.628914864308110E-13  3.191663159721920E-13 4386
 219    4360.00    4380.00  2.909527203660138E-13  1.820214553794078E-13 4066
 220    4380.00    4400.00  6.545752922652107E-13  4.291645873934172E-13 3786
 221    4400.00    4420.00  1.671013195413806E-13  2.608840319095385E-13 3739
 222    4420.00    4440.00  4.427867311533769E-13  2.242232706633063E-13 3666
 223    4440.00    4460.00 -7.720049761870184E-13  8.551748331136972E-13 3403
 224    4460.00    4480.00  1.363670188247468E-13  9.449733246490923E-14 3275
 225    4480.00    4500.00  1.250764253751172E-13  1.057395365584154E-13 3125
 226    4500.00    4520.00 -2.765716088860818E-14  1.253314616131784E-13 2982
 227    4520.00    4540.00  2.123402544222325E-13  1.094976738026222E-13 3062
 228    4540.00    4560.00  5.180579363951567E-14  1.804942418035071E-13 2687
 229    4560.00    4580.00  7.643543608534487E-13  5.114494466364284E-13 2632
 230    4580.00    4600.00  5.867088771977340E-14  4.729357176726237E-14 2496
 231    4600.00    4620.00 -7.465396777306221E-14  1.339313791606881E-13 2286
 232    4620.00    4640.00  1.083774889912146E-13  5.265930349621305E-14 2241
 233    4640.00    4660.00  9.272683858782874E-14  4.362544659926202E-14 2151
 234    4660.00    4680.00  6.129430575143233E-14  2.689509785133752E-13 2033
 235    4680.00    4700.00  4.766257807043357E-13  3.172424967173414E-13 1949
 236    4700.00    4720.00  1.007642430623404E-14  7.314449552866235E-14 1857
 237    4720.00    4740.00  4.216767756633468E-14  2.088933860083905E-14 1730
 238    4740.00    4760.00  8.690043028058221E-15  7.069694816779414E-15 1692
 239    4760.00    4780.00  2.256469462496040E-14  6.816943941940449E-15 1650
 240    4780.00    4800.00  9.345723203493814E-15  2.299357839192167E-15 1510
 241    4800.00    4820.00  4.558556004926380E-17  6.167626646667513E-15 1439
 242    4820.00    4840.00  7.061086206668024E-15  7.700785801412561E-15 1361
 243    4840.00    4860.00  1.362364831726417E-14  6.898331324045854E-15 1294
 244    4860.00    4880.00  1.120808200850287E-14  3.448760033435483E-15 1236
 245    4880.00    4900.00  1.024385997250920E-14  4.346127098472819E-15 1189
 246    4900.00    4920.00 -1.585978700610088E-15  3.507620876738487E-15 1131
 247    4920.00    4940.00  3.519492420842134E-15  3.335717414328256E-15 1000
 248    4940.00    4960.00  1.393920740577714E-15  4.132866314500121E-15 1036
 249    4960.00    4980.00  7.935063315773530E-15  3.971817197475078E-15 941
 250    4980.00    5000.00  4.384912532886478E-15  2.015017426525272E-15 881
 251    5000.00    5020.00  9.712918071987998E-16  2.956744440517469E-16 847
 252    5020.00    5040.00  5.266522853468605E-16  7.301061919937331E-16 766
 253    5040.00    5060.00  6.565864110132368E-15  4.946203914978581E-15 774
 254    5060.00    5080.00  2.331405775860318E-14  1.576177014454442E-14 698
 255    5080.00    5100.00 -3.546100654249499E-16  1.270525648513967E-15 696
 256    5100.00    5120.00  1.807769364928527E-14  1.525649852660200E-14 652
 257    5120.00    5140.00  2.059166165871007E-15  1.762228079236514E-15 587
 258    5140.00    5160.00 -1.047816414217962E-15  1.168318548464713E-15 590
 259    5160.00    5180.00  2.592147827533257E-15  2.237005575917317E-15 499
 260    5180.00    5200.00  9.139560754020077E-16  4.244548939758853E-16 467
 261    5200.00    5220.00  7.143595983048206E-17  1.489809318192744E-16 440
 262    5220.00    5240.00  1.140549214078813E-15  8.831524859500078E-16 421
 263    5240.00    5260.00 -2.964033300550854E-15  2.701077390551636E-15 410
 264    5260.00    5280.00  8.104843691697619E-17  6.229093205559414E-17 367
 265    5280.00    5300.00  2.723223205601643E-16  1.357329393643516E-16 379
 266    5300.00    5320.00  7.839218065245586E-17  3.269787329262695E-17 337
 267    5320.00    5340.00  4.768631755718386E-17  2.030306288463038E-17 282
 268    5340.00    5360.00  2.667100244797805E-17  1.956637363940236E-17 312
