# title = Invariant Mass visible System
# xlabel = $M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
 252    5020.00    5040.00 -7.938075621176865E-07  1.583082825673028E-05 1136243
 253    5040.00    5060.00  3.067713601026966E-05  1.417113122361684E-05 1125767
 254    5060.00    5080.00  7.762379574303164E-06  6.774778669849093E-06 1116495
 255    5080.00    5100.00  2.136730542828408E-05  8.629905387911483E-06 1105462
 256    5100.00    5120.00  9.478247337016290E-06  1.010295880295366E-05 1093242
 257    5120.00    5140.00  2.291085950384595E-08  6.063230194896081E-06 1084519
 258    5140.00    5160.00  2.554223256428980E-05  9.026980083517632E-06 1073963
 259    5160.00    5180.00  2.279691421801620E-05  1.421471700166147E-05 1063520
 260    5180.00    5200.00 -9.492229986116062E-07  1.462423216124523E-05 1054059
 261    5200.00    5220.00  2.192585435709271E-06  9.736870522726725E-06 1045468
 262    5220.00    5240.00  1.628420691779442E-05  1.108942092667860E-05 1035567
 263    5240.00    5260.00  1.794375050123788E-06  9.577207506133556E-06 1028247
 264    5260.00    5280.00  1.175197082237535E-05  7.271626008454755E-06 1017788
 265    5280.00    5300.00  9.108083874376210E-06  7.077665271630550E-06 1007593
 266    5300.00    5320.00  1.851357288489793E-05  6.894168358795873E-06 997580
 267    5320.00    5340.00  3.710705576866489E-06  6.264950437814216E-06 990553
 268    5340.00    5360.00  1.364034612226801E-05  5.787811239645831E-06 981584
 269    5360.00    5380.00  1.581639553779706E-05  6.217861265394407E-06 973257
 270    5380.00    5400.00  4.636291145753847E-06  5.118185750515384E-06 963611
 271    5400.00    5420.00  8.952136912411867E-06  4.770080777014418E-06 954443
 272    5420.00    5440.00  9.732227400087639E-06  4.088524582557626E-06 944912
 273    5440.00    5460.00  6.387152867872694E-06  4.083865650009023E-06 936856
 274    5460.00    5480.00  8.632439880324487E-06  3.791976614321815E-06 929690
 275    5480.00    5500.00  5.047245558574569E-06  4.462775389925120E-06 920344
 276    5500.00    5520.00  1.608507834533693E-05  5.393233468633544E-06 912264
 277    5520.00    5540.00  4.548821676669033E-06  4.361440242648791E-06 903656
 278    5540.00    5560.00  5.972733283911670E-06  4.045278290023037E-06 895013
 279    5560.00    5580.00  5.980323235285296E-06  4.231608472697593E-06 887224
 280    5580.00    5600.00  1.561915368192126E-05  4.585470799749379E-06 880419
 281    5600.00    5620.00  5.329873701632391E-06  5.263379243069871E-06 872319
 282    5620.00    5640.00  5.225900697598284E-06  5.292792098646367E-06 862411
