 #         232 :  dS/dp_{T,j3} (fb/GeV) (NLO)	 #         232 :  dS/dp_{T,j3} (fb/GeV) (NLO)
720.000 730.000 3.296537691811023e-08 6.705390035479971e-09	720.000 730.000 3.4449707579001244e-13 2.2747879907807653e-13
730.000 740.000 1.752356148188977e-08 2.1974913577114926e-09	730.000 740.000 1.7993369890496154e-13 1.1949554181146843e-13
740.000 750.000 2.3898268114960638e-08 3.34713415035494e-09	740.000 750.000 7.81913753352839e-14 5.958250000001519e-14
750.000 760.000 1.6995341718740153e-08 3.66430948578137e-09	750.000 760.000 -7.023540736559474e-13 4.169125e-17
760.000 770.000 1.9311688394488186e-08 3.5451180514972057e-09	760.000 770.000 1.1060944585445614e-12 3.2538904838478935e-13
770.000 780.000 3.1485513743307094e-08 1.573974063972506e-08	770.000 780.000 5.194890578534234e-14 0.0
780.000 790.000 1.2954136005984256e-08 2.5078761992643563e-09	780.000 790.000 2.3474088862e-15 0.0
790.000 800.000 6.467593411023626e-09 1.2182375518946514e-09	790.000 800.000 4.299308751634375e-13 3.28525e-20
800.000 810.000 1.5137702874330702e-08 4.1235780697271795e-09	800.000 810.000 2.106069854029531e-15 4.96771875e-16
810.000 820.000 7.721525616535435e-09 1.8336330198885817e-09	810.000 820.000 -2.55796875e-19 2.46088125e-19
820.000 830.000 1.83692677991945e-08 1.1770937614158154e-08	820.000 830.000 4.622872531257182e-14 0.0
830.000 840.000 2.6207957640370074e-09 4.566535364407412e-10	830.000 840.000 5.78433375e-15 0.0
840.000 850.000 5.37202603937638e-09 1.2699842777327418e-09	840.000 850.000 1.4377750155059093e-16 0.0
850.000 860.000 5.473017022016654e-09 1.5282748318134429e-09	850.000 860.000 5.798951047375e-14 0.0
860.000 870.000 2.835124098698639e-09 5.63189074846085e-10	860.000 870.000 1.440812414409375e-14 0.0
870.000 880.000 4.778513509497409e-09 9.436888001428912e-10	870.000 880.000 3.288663670717354e-14 0.0
880.000 890.000 4.135386909794094e-09 1.5142266090671628e-09	880.000 890.000 8.868415521875e-17 0.0
890.000 900.000 3.4458617432891334e-09 7.006863210059837e-10	890.000 900.000 3.2262521875e-15 0.0
900.000 910.000 2.340432596257223e-09 5.182251940386738e-10	900.000 910.000 3.86316098553125e-16 0.0
910.000 920.000 1.4075446898637517e-09 2.687339216505963e-10	910.000 920.000 4.942149249375001e-15 0.0
920.000 930.000 1.7097327111102045e-09 5.173309964856611e-10	920.000 930.000 0.0 0.0
930.000 940.000 1.1217339421025335e-09 3.3649410293414214e-10	930.000 940.000 0.0 0.0
940.000 950.000 6.656362253691711e-10 2.312711314204388e-10	940.000 950.000 1.1630151978750001e-17 0.0
950.000 960.000 1.7410240618361293e-09 8.992050202029209e-10	950.000 960.000 2.5422764975e-16 0.0
960.000 970.000 4.326734733241143e-09 3.45216263102872e-09	960.000 970.000 0.0 0.0
970.000 980.000 1.4864411330705914e-09 5.425166006121556e-10	970.000 980.000 0.0 0.0
980.000 990.000 8.498536802306116e-10 2.240297307756671e-10	980.000 990.000 1.0580725e-17 0.0
990.000 1000.00 3.7415558481331336e-10 1.352745826648658e-10	990.000 1000.00 1.178290625e-19 0.0
1000.00 1010.00 4.777622659527559e-09 7.473664978114641e-10	1000.00 1010.00 3.134231835904774e-15 1.4643900314689682e-18
