 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
2.00000 2.50000 350.000 400.000 0.00045228603937007885 1.986970873750198e-07	2.00000 2.50000 350.000 400.000 1.5065184375e-06 3.3413979824161215e-09
2.00000 2.50000 400.000 450.000 0.00043148699212598447 1.949712293088698e-07	2.00000 2.50000 400.000 450.000 1.1737459375e-06 3.088461096364946e-09
2.00000 2.50000 450.000 500.000 0.00039942042519685016 1.8232371664968413e-07	2.00000 2.50000 450.000 500.000 9.2448728125e-07 2.553444511374002e-09
2.00000 2.50000 500.000 550.000 0.0003625724251968504 1.7615961828149504e-07	2.00000 2.50000 500.000 550.000 7.361710312500001e-07 2.6448307406707283e-09
2.00000 2.50000 550.000 600.000 0.0003252360078740155 1.6997982402389338e-07	2.00000 2.50000 550.000 600.000 5.912405937500002e-07 2.07279665203653e-09
2.00000 2.50000 600.000 650.000 0.00028972080314960627 1.605875265882191e-07	2.00000 2.50000 600.000 650.000 4.801071874999999e-07 1.887801351420198e-09
2.00000 2.50000 650.000 700.000 0.00025704847244094494 1.5828947922702782e-07	2.00000 2.50000 650.000 700.000 3.9584940625e-07 1.8043267490287193e-09
2.00000 2.50000 700.000 750.000 0.0002270942362204724 1.4894002850762852e-07	2.00000 2.50000 700.000 750.000 3.2528721875000007e-07 1.7526016401226064e-09
2.00000 2.50000 750.000 800.000 0.00020008687401574805 1.4137206798203815e-07	2.00000 2.50000 750.000 800.000 2.6799603125e-07 1.4981043049010267e-09
2.00000 2.50000 800.000 850.000 0.00017657827559055124 1.3773650970509313e-07	2.00000 2.50000 800.000 850.000 2.2448603125e-07 1.3570091081580572e-09
2.00000 2.50000 850.000 900.000 0.00015597058267716535 1.3282828683492745e-07	2.00000 2.50000 850.000 900.000 1.8491725e-07 1.2731088948523407e-09
2.00000 2.50000 900.000 950.000 0.00013762014173228343 1.2708317140947543e-07	2.00000 2.50000 900.000 950.000 1.5806865624999998e-07 1.4720654420454456e-09
2.00000 2.50000 950.000 1000.00 0.00012165974803149612 1.2445030553329668e-07	2.00000 2.50000 950.000 1000.00 1.3034503125e-07 1.0723119311446169e-09
2.00000 2.50000 1000.00 1050.00 0.0010209732283464569 6.303469074275368e-07	2.00000 2.50000 1000.00 1050.00 8.0841409375e-07 7.660684137059362e-09
 	 
2.50000 3.00000 -50.0000 0.00000 0.0 0.0	2.50000 3.00000 -50.0000 0.00000 0.0 0.0
2.50000 3.00000 0.00000 50.0000 0.0 0.0	2.50000 3.00000 0.00000 50.0000 0.0 0.0
2.50000 3.00000 50.0000 100.000 0.0 0.0	2.50000 3.00000 50.0000 100.000 0.0 0.0
2.50000 3.00000 100.000 150.000 0.0 0.0	2.50000 3.00000 100.000 150.000 0.0 0.0
2.50000 3.00000 150.000 200.000 0.0 0.0	2.50000 3.00000 150.000 200.000 0.0 0.0
2.50000 3.00000 200.000 250.000 0.0002120816141732283 1.63752058947413e-07	2.50000 3.00000 200.000 250.000 1.5769346875e-06 4.881784467141401e-09
2.50000 3.00000 250.000 300.000 0.00033984303149606297 1.9558718886428395e-07	2.50000 3.00000 250.000 300.000 1.4416153125000001e-06 3.2241599418809974e-09
2.50000 3.00000 300.000 350.000 0.00043382181889763794 2.0859385699862344e-07	2.50000 3.00000 300.000 350.000 1.2155962499999998e-06 2.709458458606814e-09
2.50000 3.00000 350.000 400.000 0.0004872288188976376 2.2851039395691625e-07	2.50000 3.00000 350.000 400.000 9.9248090625e-07 2.413044281014891e-09
2.50000 3.00000 400.000 450.000 0.0005062591889763776 2.2544215712303995e-07	2.50000 3.00000 400.000 450.000 8.055380625000001e-07 2.1031205547028616e-09
2.50000 3.00000 450.000 500.000 0.0005014522047244094 2.062154814561108e-07	2.50000 3.00000 450.000 500.000 6.485469687500001e-07 1.8685600412119393e-09
2.50000 3.00000 500.000 550.000 0.00048156701574803153 1.9585979297075812e-07	2.50000 3.00000 500.000 550.000 5.259703125000001e-07 1.7226419011781097e-09
2.50000 3.00000 550.000 600.000 0.00045242651181102365 1.8985823418167346e-07	2.50000 3.00000 550.000 600.000 4.306311562500001e-07 1.5320422418004782e-09
2.50000 3.00000 600.000 650.000 0.0004181204094488189 1.8068434875485196e-07	2.50000 3.00000 600.000 650.000 3.5171793749999985e-07 1.4712704139254563e-09
2.50000 3.00000 650.000 700.000 0.00038291651968503965 1.7471371061606344e-07	2.50000 3.00000 650.000 700.000 2.9052465625000007e-07 1.354487557819269e-09
2.50000 3.00000 700.000 750.000 0.0003477044645669291 1.635638655398607e-07	2.50000 3.00000 700.000 750.000 2.3888403125e-07 1.2094590100911741e-09
2.50000 3.00000 750.000 800.000 0.0003138662913385827 1.6138738091289618e-07	2.50000 3.00000 750.000 800.000 1.9987853124999998e-07 1.1429338132440745e-09
2.50000 3.00000 800.000 850.000 0.0002826583543307086 1.522347362945477e-07	2.50000 3.00000 800.000 850.000 1.676028125e-07 1.0549275057746581e-09
2.50000 3.00000 850.000 900.000 0.00025407497637795274 1.4687743933425096e-07	2.50000 3.00000 850.000 900.000 1.4089440625000004e-07 1.0925378777178138e-09
2.50000 3.00000 900.000 950.000 0.00022753437007874022 1.4307680395064342e-07	2.50000 3.00000 900.000 950.000 1.1874337499999998e-07 9.908788517469507e-10
2.50000 3.00000 950.000 1000.00 0.00020365559055118108 1.3479587329286426e-07	2.50000 3.00000 950.000 1000.00 1.001266e-07 8.953475057838052e-10
2.50000 3.00000 1000.00 1050.00 0.0018206278740157476 5.651460988309639e-07	2.50000 3.00000 1000.00 1050.00 6.128134687500001e-07 3.4225797829537286e-09
 	 
3.00000 3.50000 -50.0000 0.00000 0.0 0.0	3.00000 3.50000 -50.0000 0.00000 0.0 0.0
3.00000 3.50000 0.00000 50.0000 0.0 0.0	3.00000 3.50000 0.00000 50.0000 0.0 0.0
3.00000 3.50000 50.0000 100.000 0.0 0.0	3.00000 3.50000 50.0000 100.000 0.0 0.0
3.00000 3.50000 100.000 150.000 0.0 0.0	3.00000 3.50000 100.000 150.000 0.0 0.0
3.00000 3.50000 150.000 200.000 0.0 0.0	3.00000 3.50000 150.000 200.000 0.0 0.0
3.00000 3.50000 200.000 250.000 8.804629291338582e-05 1.0342568067229331e-07	3.00000 3.50000 200.000 250.000 5.1913384375e-07 3.369496200062604e-09
3.00000 3.50000 250.000 300.000 0.00018884595275590546 1.4030827248955656e-07	3.00000 3.50000 250.000 300.000 6.060166249999999e-07 1.9906406231854534e-09
3.00000 3.50000 300.000 350.000 0.00029569440944881897 1.7558962261650245e-07	3.00000 3.50000 300.000 350.000 5.9806028125e-07 1.881997859467599e-09
3.00000 3.50000 350.000 400.000 0.00038625985039370095 2.0293665214494734e-07	3.00000 3.50000 350.000 400.000 5.4333103125e-07 1.6803772424468272e-09
3.00000 3.50000 400.000 450.000 0.0004507885196850393 2.0417013818434286e-07	3.00000 3.50000 400.000 450.000 4.6997059375000003e-07 1.5773439914213226e-09
3.00000 3.50000 450.000 500.000 0.0004891657322834645 2.0573794224391072e-07	3.00000 3.50000 450.000 500.000 3.9967103125e-07 1.4611881779900063e-09
3.00000 3.50000 500.000 550.000 0.0005054381181102364 2.022895230974968e-07	3.00000 3.50000 500.000 550.000 3.3678140625e-07 1.3200546972464668e-09
3.00000 3.50000 550.000 600.000 0.0005044171259842521 1.9918846620505905e-07	3.00000 3.50000 550.000 600.000 2.8253368749999996e-07 1.2866692942827988e-09
3.00000 3.50000 600.000 650.000 0.000491866590551181 1.9214520800653218e-07	3.00000 3.50000 600.000 650.000 2.3440303125000002e-07 1.1844088538647796e-09
3.00000 3.50000 650.000 700.000 0.00047096059842519674 1.833518122876377e-07	3.00000 3.50000 650.000 700.000 1.970156875e-07 1.0752806286889898e-09
3.00000 3.50000 700.000 750.000 0.0004448361968503938 1.766463141352154e-07	3.00000 3.50000 700.000 750.000 1.6451903125e-07 1.170232424710889e-09
3.00000 3.50000 750.000 800.000 0.0004159447952755906 1.719715423783196e-07	3.00000 3.50000 750.000 800.000 1.3945696875000002e-07 1.0527355237299856e-09
3.00000 3.50000 800.000 850.000 0.0003860366299212598 1.6495685398407108e-07	3.00000 3.50000 800.000 850.000 1.1640743750000002e-07 8.852001763118219e-10
3.00000 3.50000 850.000 900.000 0.0003559302598425197 1.5808379444504026e-07	3.00000 3.50000 850.000 900.000 9.870484375e-08 8.723054601943423e-10
