 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
3.50000 4.00000 350.000 400.000 0.00021532067968749999 1.548423477264882e-07	3.50000 4.00000 350.000 400.000 2.1855035624999998e-07 1.6476164718777042e-08
3.50000 4.00000 400.000 450.000 0.0002914103906249998 1.6801583731109223e-07	3.50000 4.00000 400.000 450.000 2.812746e-07 3.7369687903574685e-08
3.50000 4.00000 450.000 500.000 0.00035553278906249995 1.8281380957193203e-07	3.50000 4.00000 450.000 500.000 2.0093577812499997e-07 1.896780058766276e-08
3.50000 4.00000 500.000 550.000 0.00040392730468750005 1.9110498989857835e-07	3.50000 4.00000 500.000 550.000 2.1028715625000002e-07 3.563689607721063e-08
3.50000 4.00000 550.000 600.000 0.00043722788281249985 1.9426201525029027e-07	3.50000 4.00000 550.000 600.000 1.36189846875e-07 1.9609552560536895e-08
3.50000 4.00000 600.000 650.000 0.00045542044531250004 1.9841983776778395e-07	3.50000 4.00000 600.000 650.000 1.226562778125e-07 1.5356253871234555e-08
3.50000 4.00000 650.000 700.000 0.00046151404687499987 1.9338833975799006e-07	3.50000 4.00000 650.000 700.000 9.433612725e-08 1.1471273564848892e-08
3.50000 4.00000 700.000 750.000 0.00045863764062499995 1.9085023416608643e-07	3.50000 4.00000 700.000 750.000 9.864167791765626e-08 1.9808693344208716e-08
3.50000 4.00000 750.000 800.000 0.0004484923906249998 1.8834475341234693e-07	3.50000 4.00000 750.000 800.000 5.614124111843749e-08 9.257640961643159e-09
3.50000 4.00000 800.000 850.000 0.0004330290625000001 1.8202633649467687e-07	3.50000 4.00000 800.000 850.000 4.7241122812499995e-08 1.2972868831922355e-08
3.50000 4.00000 850.000 900.000 0.00041382517968749984 1.7621451422550434e-07	3.50000 4.00000 850.000 900.000 7.9559524996875e-08 9.997319962019007e-09
3.50000 4.00000 900.000 950.000 0.0003923632968750002 1.71654515823393e-07	3.50000 4.00000 900.000 950.000 9.913552127187499e-08 3.648916361626014e-08
3.50000 4.00000 950.000 1000.00 0.0003694032734375001 1.651589808106151e-07	3.50000 4.00000 950.000 1000.00 1.6665861891281247e-08 6.15836275001969e-10
3.50000 4.00000 1000.00 1050.00 0.004360656250000001 5.928237330193415e-07	3.50000 4.00000 1000.00 1050.00 2.1637885743749995e-07 5.6417605177730553e-08
 	 
4.00000 4.50000 -50.0000 0.00000 0.0 0.0	4.00000 4.50000 -50.0000 0.00000 0.0 0.0
4.00000 4.50000 0.00000 50.0000 0.0 0.0	4.00000 4.50000 0.00000 50.0000 0.0 0.0
4.00000 4.50000 50.0000 100.000 0.0 0.0	4.00000 4.50000 50.0000 100.000 0.0 0.0
4.00000 4.50000 100.000 150.000 0.0 0.0	4.00000 4.50000 100.000 150.000 0.0 0.0
4.00000 4.50000 150.000 200.000 0.0 0.0	4.00000 4.50000 150.000 200.000 0.0 0.0
4.00000 4.50000 200.000 250.000 4.128887578125003e-07 5.309252825829265e-09	4.00000 4.50000 200.000 250.000 8.296168849687502e-10 1.811288896822648e-10
4.00000 4.50000 250.000 300.000 9.962771249999997e-06 2.9486966563998447e-08	4.00000 4.50000 250.000 300.000 2.14470559375e-08 3.5244151515695465e-09
4.00000 4.50000 300.000 350.000 3.703337265625e-05 6.087891498910249e-08	4.00000 4.50000 300.000 350.000 4.29622125e-08 4.326750381814197e-09
4.00000 4.50000 350.000 400.000 7.818218593750001e-05 8.741004971242831e-08	4.00000 4.50000 350.000 400.000 5.325719187500001e-08 5.914493392540974e-09
4.00000 4.50000 400.000 450.000 0.00012872061718749997 1.2190576191781678e-07	4.00000 4.50000 400.000 450.000 1.1343906874999997e-07 3.8637790341447356e-08
4.00000 4.50000 450.000 500.000 0.0001827061406249999 1.3427302018205226e-07	4.00000 4.50000 450.000 500.000 8.356992613124999e-08 1.1681392535656434e-08
4.00000 4.50000 500.000 550.000 0.00023535134374999994 1.5436823720965498e-07	4.00000 4.50000 500.000 550.000 8.542688102812502e-08 1.244704503501611e-08
4.00000 4.50000 550.000 600.000 0.00028071316406249995 1.6316142281531247e-07	4.00000 4.50000 550.000 600.000 9.678543691874999e-08 1.6280656787475164e-08
4.00000 4.50000 600.000 650.000 0.00031911778906250013 1.8094102391875537e-07	4.00000 4.50000 600.000 650.000 6.761074870005376e-08 1.4267517399894613e-08
4.00000 4.50000 650.000 700.000 0.000348360140625 1.7879954222570616e-07	4.00000 4.50000 650.000 700.000 3.53362590759375e-08 4.5425110870916854e-09
4.00000 4.50000 700.000 750.000 0.0003682406953125001 1.778464633824881e-07	4.00000 4.50000 700.000 750.000 5.4815790601874995e-08 9.530498682707907e-09
4.00000 4.50000 750.000 800.000 0.0003807358750000001 1.8927273951694488e-07	4.00000 4.50000 750.000 800.000 4.33108552215625e-08 1.0962469690190328e-08
4.00000 4.50000 800.000 850.000 0.0003864010078125 1.7894645346176316e-07	4.00000 4.50000 800.000 850.000 3.640496844528125e-08 8.808003246041976e-09
4.00000 4.50000 850.000 900.000 0.00038599205468749985 1.7659952709408578e-07	4.00000 4.50000 850.000 900.000 1.2771406084375001e-08 1.3475072126792703e-10
4.00000 4.50000 900.000 950.000 0.00038123382812499965 1.7406638755478696e-07	4.00000 4.50000 900.000 950.000 3.274578734375e-08 7.887792065707505e-09
4.00000 4.50000 950.000 1000.00 0.00037219252343749997 1.6939890238861865e-07	4.00000 4.50000 950.000 1000.00 4.9965708681249996e-08 2.0988398462347653e-10
4.00000 4.50000 1000.00 1050.00 0.005599517109375 6.580184115840295e-07	4.00000 4.50000 1000.00 1050.00 1.939474807625e-07 4.0636410370204874e-08
 	 
4.50000 5.00000 -50.0000 0.00000 0.0 0.0	4.50000 5.00000 -50.0000 0.00000 0.0 0.0
4.50000 5.00000 0.00000 50.0000 0.0 0.0	4.50000 5.00000 0.00000 50.0000 0.0 0.0
4.50000 5.00000 50.0000 100.000 0.0 0.0	4.50000 5.00000 50.0000 100.000 0.0 0.0
4.50000 5.00000 100.000 150.000 0.0 0.0	4.50000 5.00000 100.000 150.000 0.0 0.0
4.50000 5.00000 150.000 200.000 0.0 0.0	4.50000 5.00000 150.000 200.000 0.0 0.0
4.50000 5.00000 200.000 250.000 0.0 0.0	4.50000 5.00000 200.000 250.000 0.0 0.0
4.50000 5.00000 250.000 300.000 3.1452242499999996e-08 1.109232275387829e-09	4.50000 5.00000 250.000 300.000 8.56837703125e-12 0.0
4.50000 5.00000 300.000 350.000 2.9388541406250002e-06 1.7778924579376494e-08	4.50000 5.00000 300.000 350.000 2.34288308949375e-09 5.680586605989155e-10
4.50000 5.00000 350.000 400.000 1.4592121093750004e-05 3.522768997205309e-08	4.50000 5.00000 350.000 400.000 9.848862359375e-09 1.9840429435950378e-09
4.50000 5.00000 400.000 450.000 3.486437812499999e-05 5.664071153731967e-08	4.50000 5.00000 400.000 450.000 1.944766816661875e-08 4.004223312232159e-09
4.50000 5.00000 450.000 500.000 6.152781718750001e-05 7.692199667765202e-08	4.50000 5.00000 450.000 500.000 2.2596604015624995e-08 4.277955158435387e-09
4.50000 5.00000 500.000 550.000 9.312180781249999e-05 1.0328227597242219e-07	4.50000 5.00000 500.000 550.000 2.297428570084375e-08 3.953826355715815e-09
4.50000 5.00000 550.000 600.000 0.0001268352578125 1.1636724588128467e-07	4.50000 5.00000 550.000 600.000 1.7693949102187497e-08 4.086976773446779e-09
4.50000 5.00000 600.000 650.000 0.00016067203124999998 1.2456926387020905e-07	4.50000 5.00000 600.000 650.000 4.814321521878125e-08 1.0502634850995173e-08
4.50000 5.00000 650.000 700.000 0.00019253774218750007 1.4268040465446992e-07	4.50000 5.00000 650.000 700.000 2.4369969075000005e-08 4.22720998080233e-09
4.50000 5.00000 700.000 750.000 0.00022064831250000002 1.4381896779546813e-07	4.50000 5.00000 700.000 750.000 1.42547288044125e-08 1.1556686666774912e-09
4.50000 5.00000 750.000 800.000 0.0002450111484374999 1.4871248660150777e-07	4.50000 5.00000 750.000 800.000 3.827195853125e-08 1.8495147692234836e-08
4.50000 5.00000 800.000 850.000 0.00026430807812499995 1.5506242012175255e-07	4.50000 5.00000 800.000 850.000 1.3197095209687499e-08 7.968854489104166e-10
4.50000 5.00000 850.000 900.000 0.00027947582031250006 1.5866702078127626e-07	4.50000 5.00000 850.000 900.000 2.525370274432047e-09 9.091e-11
4.50000 5.00000 900.000 950.000 0.000289894734375 1.5689938098903522e-07	4.50000 5.00000 900.000 950.000 1.1276624461250001e-08 0.0
4.50000 5.00000 950.000 1000.00 0.0002963267734375001 1.7831337926174434e-07	4.50000 5.00000 950.000 1000.00 1.36394700625e-08 3.34340625e-09
4.50000 5.00000 1000.00 1050.00 0.006214626484374999 6.716936519746933e-07	4.50000 5.00000 1000.00 1050.00 9.579047490593751e-08 2.4539400567490562e-08
 	 
5.00000 5.50000 -50.0000 0.00000 0.0 0.0	5.00000 5.50000 -50.0000 0.00000 0.0 0.0
5.00000 5.50000 0.00000 50.0000 0.0 0.0	5.00000 5.50000 0.00000 50.0000 0.0 0.0
5.00000 5.50000 50.0000 100.000 0.0 0.0	5.00000 5.50000 50.0000 100.000 0.0 0.0
5.00000 5.50000 100.000 150.000 0.0 0.0	5.00000 5.50000 100.000 150.000 0.0 0.0
5.00000 5.50000 150.000 200.000 0.0 0.0	5.00000 5.50000 150.000 200.000 0.0 0.0
5.00000 5.50000 200.000 250.000 0.0 0.0	5.00000 5.50000 200.000 250.000 0.0 0.0
5.00000 5.50000 250.000 300.000 0.0 0.0	5.00000 5.50000 250.000 300.000 0.0 0.0
5.00000 5.50000 300.000 350.000 0.0 0.0	5.00000 5.50000 300.000 350.000 0.0 0.0
5.00000 5.50000 350.000 400.000 2.0708358593749996e-07 1.143532268294953e-08	5.00000 5.50000 350.000 400.000 0.0 0.0
5.00000 5.50000 400.000 450.000 2.986321796874999e-06 1.6200300174200226e-08	5.00000 5.50000 400.000 450.000 1.1851587781250001e-09 7.084194779150649e-11
5.00000 5.50000 450.000 500.000 1.0319124453125e-05 2.9962489601872774e-08	5.00000 5.50000 450.000 500.000 5.637746463319063e-09 1.6247231207634627e-09
5.00000 5.50000 500.000 550.000 2.1771156249999998e-05 4.547186689044536e-08	5.00000 5.50000 500.000 550.000 4.80272766603125e-09 1.3589849803309045e-10
5.00000 5.50000 550.000 600.000 3.65748453125e-05 6.249658504073713e-08	5.00000 5.50000 550.000 600.000 9.66491438875e-09 1.5530617917568995e-09
5.00000 5.50000 600.000 650.000 5.392837812500002e-05 7.644117720162289e-08	5.00000 5.50000 600.000 650.000 3.129387909687499e-09 2.5833290875574356e-10
5.00000 5.50000 650.000 700.000 7.309721796874995e-05 8.827983221333109e-08	5.00000 5.50000 650.000 700.000 2.738843013125e-10 5.17628125e-11
5.00000 5.50000 700.000 750.000 9.310677187500002e-05 9.811243354734946e-08	5.00000 5.50000 700.000 750.000 7.03507815625e-09 6.75474863529181e-10
5.00000 5.50000 750.000 800.000 0.0001132007421875 1.243274264425449e-07	5.00000 5.50000 750.000 800.000 1.25707073125e-09 0.0
5.00000 5.50000 800.000 850.000 0.00013202882031250005 1.1961430953595876e-07	5.00000 5.50000 800.000 850.000 6.5930167228125e-09 0.0
5.00000 5.50000 850.000 900.000 0.00014939759375000002 1.1656511090744728e-07	5.00000 5.50000 850.000 900.000 2.680936196875e-09 0.0
5.00000 5.50000 900.000 950.000 0.00016557202343749997 1.246715483430998e-07	5.00000 5.50000 900.000 950.000 1.882433601875e-08 0.0
5.00000 5.50000 950.000 1000.00 0.00017895289062500004 1.2969299971289902e-07	5.00000 5.50000 950.000 1000.00 1.28866625e-09 0.0
5.00000 5.50000 1000.00 1050.00 0.005917399296875 6.707356060852113e-07	5.00000 5.50000 1000.00 1050.00 3.6961025784375e-08 9.558978988928746e-09
 	 
5.50000 6.00000 -50.0000 0.00000 0.0 0.0	5.50000 6.00000 -50.0000 0.00000 0.0 0.0
5.50000 6.00000 0.00000 50.0000 0.0 0.0	5.50000 6.00000 0.00000 50.0000 0.0 0.0
5.50000 6.00000 50.0000 100.000 0.0 0.0	5.50000 6.00000 50.0000 100.000 0.0 0.0
5.50000 6.00000 100.000 150.000 0.0 0.0	5.50000 6.00000 100.000 150.000 0.0 0.0
5.50000 6.00000 150.000 200.000 0.0 0.0	5.50000 6.00000 150.000 200.000 0.0 0.0
5.50000 6.00000 200.000 250.000 0.0 0.0	5.50000 6.00000 200.000 250.000 0.0 0.0
5.50000 6.00000 250.000 300.000 0.0 0.0	5.50000 6.00000 250.000 300.000 0.0 0.0
5.50000 6.00000 300.000 350.000 0.0 0.0	5.50000 6.00000 300.000 350.000 0.0 0.0
5.50000 6.00000 350.000 400.000 0.0 0.0	5.50000 6.00000 350.000 400.000 0.0 0.0
5.50000 6.00000 400.000 450.000 0.0 0.0	5.50000 6.00000 400.000 450.000 0.0 0.0
5.50000 6.00000 450.000 500.000 6.177328359375003e-08 1.6414388579074563e-09	5.50000 6.00000 450.000 500.000 0.0 0.0
5.50000 6.00000 500.000 550.000 1.188182484375e-06 1.0057845232602728e-08	5.50000 6.00000 500.000 550.000 0.0 0.0
5.50000 6.00000 550.000 600.000 4.314753984375001e-06 1.9678362029402177e-08	5.50000 6.00000 550.000 600.000 1.0750125e-10 0.0
5.50000 6.00000 600.000 650.000 9.551272890625001e-06 2.7775632704363107e-08	5.50000 6.00000 600.000 650.000 3.8703081781249997e-10 0.0
5.50000 6.00000 650.000 700.000 1.6447659374999995e-05 3.63416026514878e-08	5.50000 6.00000 650.000 700.000 9.22375e-10 0.0
5.50000 6.00000 700.000 750.000 2.485139921875e-05 4.8045208582615285e-08	5.50000 6.00000 700.000 750.000 2.72424375e-11 0.0
5.50000 6.00000 750.000 800.000 3.428714921875e-05 6.61484663796967e-08	5.50000 6.00000 750.000 800.000 8.8873875e-11 0.0
5.50000 6.00000 800.000 850.000 4.4540638281250015e-05 6.755623389014146e-08	5.50000 6.00000 800.000 850.000 0.0 0.0
5.50000 6.00000 850.000 900.000 5.564559140625001e-05 8.13793459843532e-08	5.50000 6.00000 850.000 900.000 4.1280990625000004e-11 0.0
5.50000 6.00000 900.000 950.000 6.6423384375e-05 7.982427740621545e-08	5.50000 6.00000 900.000 950.000 0.0 0.0
5.50000 6.00000 950.000 1000.00 7.745462656249997e-05 9.942330198323453e-08	5.50000 6.00000 950.000 1000.00 0.0 0.0
5.50000 6.00000 1000.00 1050.00 0.0048212710156250015 6.199216083120931e-07	5.50000 6.00000 1000.00 1050.00 0.0 0.0
 	 
6.00000 6.50000 -50.0000 0.00000 0.0 0.0	6.00000 6.50000 -50.0000 0.00000 0.0 0.0
6.00000 6.50000 0.00000 50.0000 0.0 0.0	6.00000 6.50000 0.00000 50.0000 0.0 0.0
6.00000 6.50000 50.0000 100.000 0.0 0.0	6.00000 6.50000 50.0000 100.000 0.0 0.0
6.00000 6.50000 100.000 150.000 0.0 0.0	6.00000 6.50000 100.000 150.000 0.0 0.0
6.00000 6.50000 150.000 200.000 0.0 0.0	6.00000 6.50000 150.000 200.000 0.0 0.0
6.00000 6.50000 200.000 250.000 0.0 0.0	6.00000 6.50000 200.000 250.000 0.0 0.0
6.00000 6.50000 250.000 300.000 0.0 0.0	6.00000 6.50000 250.000 300.000 0.0 0.0
6.00000 6.50000 300.000 350.000 0.0 0.0	6.00000 6.50000 300.000 350.000 0.0 0.0
6.00000 6.50000 350.000 400.000 0.0 0.0	6.00000 6.50000 350.000 400.000 0.0 0.0
6.00000 6.50000 400.000 450.000 0.0 0.0	6.00000 6.50000 400.000 450.000 0.0 0.0
6.00000 6.50000 450.000 500.000 0.0 0.0	6.00000 6.50000 450.000 500.000 0.0 0.0
6.00000 6.50000 500.000 550.000 0.0 0.0	6.00000 6.50000 500.000 550.000 0.0 0.0
6.00000 6.50000 550.000 600.000 0.0 0.0	6.00000 6.50000 550.000 600.000 0.0 0.0
6.00000 6.50000 600.000 650.000 1.0682315000000002e-07 2.3055432718651858e-09	6.00000 6.50000 600.000 650.000 0.0 0.0
6.00000 6.50000 650.000 700.000 8.727612187500001e-07 1.1748577537450519e-08	6.00000 6.50000 650.000 700.000 0.0 0.0
6.00000 6.50000 700.000 750.000 2.4866378906250003e-06 1.3393008171089553e-08	6.00000 6.50000 700.000 750.000 0.0 0.0
6.00000 6.50000 750.000 800.000 5.0078925e-06 1.8651039029629572e-08	6.00000 6.50000 750.000 800.000 0.0 0.0
6.00000 6.50000 800.000 850.000 8.410296562500002e-06 2.7445466321670557e-08	6.00000 6.50000 800.000 850.000 0.0 0.0
6.00000 6.50000 850.000 900.000 1.2353411718749998e-05 3.2908565550824524e-08	6.00000 6.50000 850.000 900.000 0.0 0.0
6.00000 6.50000 900.000 950.000 1.6792525781249998e-05 3.8545363262207074e-08	6.00000 6.50000 900.000 950.000 0.0 0.0
6.00000 6.50000 950.000 1000.00 2.18069546875e-05 5.7479761902699214e-08	6.00000 6.50000 950.000 1000.00 0.0 0.0
6.00000 6.50000 1000.00 1050.00 0.0033635678125000005 5.373349190621243e-07	6.00000 6.50000 1000.00 1050.00 0.0 0.0
 	 
6.50000 7.00000 -50.0000 0.00000 0.0 0.0	6.50000 7.00000 -50.0000 0.00000 0.0 0.0
6.50000 7.00000 0.00000 50.0000 0.0 0.0	6.50000 7.00000 0.00000 50.0000 0.0 0.0
6.50000 7.00000 50.0000 100.000 0.0 0.0	6.50000 7.00000 50.0000 100.000 0.0 0.0
6.50000 7.00000 100.000 150.000 0.0 0.0	6.50000 7.00000 100.000 150.000 0.0 0.0
6.50000 7.00000 150.000 200.000 0.0 0.0	6.50000 7.00000 150.000 200.000 0.0 0.0
6.50000 7.00000 200.000 250.000 0.0 0.0	6.50000 7.00000 200.000 250.000 0.0 0.0
6.50000 7.00000 250.000 300.000 0.0 0.0	6.50000 7.00000 250.000 300.000 0.0 0.0
6.50000 7.00000 300.000 350.000 0.0 0.0	6.50000 7.00000 300.000 350.000 0.0 0.0
6.50000 7.00000 350.000 400.000 0.0 0.0	6.50000 7.00000 350.000 400.000 0.0 0.0
6.50000 7.00000 400.000 450.000 0.0 0.0	6.50000 7.00000 400.000 450.000 0.0 0.0
6.50000 7.00000 450.000 500.000 0.0 0.0	6.50000 7.00000 450.000 500.000 0.0 0.0
6.50000 7.00000 500.000 550.000 0.0 0.0	6.50000 7.00000 500.000 550.000 0.0 0.0
6.50000 7.00000 550.000 600.000 0.0 0.0	6.50000 7.00000 550.000 600.000 0.0 0.0
6.50000 7.00000 600.000 650.000 0.0 0.0	6.50000 7.00000 600.000 650.000 0.0 0.0
6.50000 7.00000 650.000 700.000 0.0 0.0	6.50000 7.00000 650.000 700.000 0.0 0.0
6.50000 7.00000 700.000 750.000 0.0 0.0	6.50000 7.00000 700.000 750.000 0.0 0.0
6.50000 7.00000 750.000 800.000 7.953483240546867e-09 5.215115128550877e-10	6.50000 7.00000 750.000 800.000 0.0 0.0
6.50000 7.00000 800.000 850.000 1.8302153124999995e-07 3.00335990945925e-09	6.50000 7.00000 800.000 850.000 0.0 0.0
6.50000 7.00000 850.000 900.000 6.875513125000001e-07 6.2209219661241984e-09	6.50000 7.00000 850.000 900.000 0.0 0.0
6.50000 7.00000 900.000 950.000 1.5322445312499996e-06 1.1388738150136138e-08	6.50000 7.00000 900.000 950.000 0.0 0.0
6.50000 7.00000 950.000 1000.00 2.7687403906250002e-06 1.4179943040278735e-08	6.50000 7.00000 950.000 1000.00 0.0 0.0
6.50000 7.00000 1000.00 1050.00 0.002002518984375 4.2883875038081615e-07	6.50000 7.00000 1000.00 1050.00 0.0 0.0
 	 
7.00000 7.50000 -50.0000 0.00000 0.0 0.0	7.00000 7.50000 -50.0000 0.00000 0.0 0.0
7.00000 7.50000 0.00000 50.0000 0.0 0.0	7.00000 7.50000 0.00000 50.0000 0.0 0.0
7.00000 7.50000 50.0000 100.000 0.0 0.0	7.00000 7.50000 50.0000 100.000 0.0 0.0
7.00000 7.50000 100.000 150.000 0.0 0.0	7.00000 7.50000 100.000 150.000 0.0 0.0
7.00000 7.50000 150.000 200.000 0.0 0.0	7.00000 7.50000 150.000 200.000 0.0 0.0
7.00000 7.50000 200.000 250.000 0.0 0.0	7.00000 7.50000 200.000 250.000 0.0 0.0
7.00000 7.50000 250.000 300.000 0.0 0.0	7.00000 7.50000 250.000 300.000 0.0 0.0
7.00000 7.50000 300.000 350.000 0.0 0.0	7.00000 7.50000 300.000 350.000 0.0 0.0
7.00000 7.50000 350.000 400.000 0.0 0.0	7.00000 7.50000 350.000 400.000 0.0 0.0
7.00000 7.50000 400.000 450.000 0.0 0.0	7.00000 7.50000 400.000 450.000 0.0 0.0
7.00000 7.50000 450.000 500.000 0.0 0.0	7.00000 7.50000 450.000 500.000 0.0 0.0
7.00000 7.50000 500.000 550.000 0.0 0.0	7.00000 7.50000 500.000 550.000 0.0 0.0
7.00000 7.50000 550.000 600.000 0.0 0.0	7.00000 7.50000 550.000 600.000 0.0 0.0
7.00000 7.50000 600.000 650.000 0.0 0.0	7.00000 7.50000 600.000 650.000 0.0 0.0
7.00000 7.50000 650.000 700.000 0.0 0.0	7.00000 7.50000 650.000 700.000 0.0 0.0
7.00000 7.50000 700.000 750.000 0.0 0.0	7.00000 7.50000 700.000 750.000 0.0 0.0
7.00000 7.50000 750.000 800.000 0.0 0.0	7.00000 7.50000 750.000 800.000 0.0 0.0
7.00000 7.50000 800.000 850.000 0.0 0.0	7.00000 7.50000 800.000 850.000 0.0 0.0
7.00000 7.50000 850.000 900.000 0.0 0.0	7.00000 7.50000 850.000 900.000 0.0 0.0
7.00000 7.50000 900.000 950.000 0.0 0.0	7.00000 7.50000 900.000 950.000 0.0 0.0
7.00000 7.50000 950.000 1000.00 2.342225e-11 0.0	7.00000 7.50000 950.000 1000.00 0.0 0.0
7.00000 7.50000 1000.00 1050.00 0.0010018118984375002 3.220502202385153e-07	7.00000 7.50000 1000.00 1050.00 0.0 0.0
 	 
7.50000 8.00000 -50.0000 0.00000 0.0 0.0	7.50000 8.00000 -50.0000 0.00000 0.0 0.0
7.50000 8.00000 0.00000 50.0000 0.0 0.0	7.50000 8.00000 0.00000 50.0000 0.0 0.0
7.50000 8.00000 50.0000 100.000 0.0 0.0	7.50000 8.00000 50.0000 100.000 0.0 0.0
7.50000 8.00000 100.000 150.000 0.0 0.0	7.50000 8.00000 100.000 150.000 0.0 0.0
7.50000 8.00000 150.000 200.000 0.0 0.0	7.50000 8.00000 150.000 200.000 0.0 0.0
7.50000 8.00000 200.000 250.000 0.0 0.0	7.50000 8.00000 200.000 250.000 0.0 0.0
7.50000 8.00000 250.000 300.000 0.0 0.0	7.50000 8.00000 250.000 300.000 0.0 0.0
7.50000 8.00000 300.000 350.000 0.0 0.0	7.50000 8.00000 300.000 350.000 0.0 0.0
7.50000 8.00000 350.000 400.000 0.0 0.0	7.50000 8.00000 350.000 400.000 0.0 0.0
7.50000 8.00000 400.000 450.000 0.0 0.0	7.50000 8.00000 400.000 450.000 0.0 0.0
7.50000 8.00000 450.000 500.000 0.0 0.0	7.50000 8.00000 450.000 500.000 0.0 0.0
7.50000 8.00000 500.000 550.000 0.0 0.0	7.50000 8.00000 500.000 550.000 0.0 0.0
7.50000 8.00000 550.000 600.000 0.0 0.0	7.50000 8.00000 550.000 600.000 0.0 0.0
7.50000 8.00000 600.000 650.000 0.0 0.0	7.50000 8.00000 600.000 650.000 0.0 0.0
7.50000 8.00000 650.000 700.000 0.0 0.0	7.50000 8.00000 650.000 700.000 0.0 0.0
7.50000 8.00000 700.000 750.000 0.0 0.0	7.50000 8.00000 700.000 750.000 0.0 0.0
7.50000 8.00000 750.000 800.000 0.0 0.0	7.50000 8.00000 750.000 800.000 0.0 0.0
7.50000 8.00000 800.000 850.000 0.0 0.0	7.50000 8.00000 800.000 850.000 0.0 0.0
7.50000 8.00000 850.000 900.000 0.0 0.0	7.50000 8.00000 850.000 900.000 0.0 0.0
7.50000 8.00000 900.000 950.000 0.0 0.0	7.50000 8.00000 900.000 950.000 0.0 0.0
7.50000 8.00000 950.000 1000.00 0.0 0.0	7.50000 8.00000 950.000 1000.00 0.0 0.0
7.50000 8.00000 1000.00 1050.00 0.00040261971093749995 2.190055974886763e-07	7.50000 8.00000 1000.00 1050.00 0.0 0.0
 	 
8.00000 8.50000 -50.0000 0.00000 0.0 0.0	8.00000 8.50000 -50.0000 0.00000 0.0 0.0
8.00000 8.50000 0.00000 50.0000 0.0 0.0	8.00000 8.50000 0.00000 50.0000 0.0 0.0
8.00000 8.50000 50.0000 100.000 0.0 0.0	8.00000 8.50000 50.0000 100.000 0.0 0.0
8.00000 8.50000 100.000 150.000 0.0 0.0	8.00000 8.50000 100.000 150.000 0.0 0.0
8.00000 8.50000 150.000 200.000 0.0 0.0	8.00000 8.50000 150.000 200.000 0.0 0.0
8.00000 8.50000 200.000 250.000 0.0 0.0	8.00000 8.50000 200.000 250.000 0.0 0.0
8.00000 8.50000 250.000 300.000 0.0 0.0	8.00000 8.50000 250.000 300.000 0.0 0.0
8.00000 8.50000 300.000 350.000 0.0 0.0	8.00000 8.50000 300.000 350.000 0.0 0.0
8.00000 8.50000 350.000 400.000 0.0 0.0	8.00000 8.50000 350.000 400.000 0.0 0.0
8.00000 8.50000 400.000 450.000 0.0 0.0	8.00000 8.50000 400.000 450.000 0.0 0.0
8.00000 8.50000 450.000 500.000 0.0 0.0	8.00000 8.50000 450.000 500.000 0.0 0.0
8.00000 8.50000 500.000 550.000 0.0 0.0	8.00000 8.50000 500.000 550.000 0.0 0.0
8.00000 8.50000 550.000 600.000 0.0 0.0	8.00000 8.50000 550.000 600.000 0.0 0.0
8.00000 8.50000 600.000 650.000 0.0 0.0	8.00000 8.50000 600.000 650.000 0.0 0.0
8.00000 8.50000 650.000 700.000 0.0 0.0	8.00000 8.50000 650.000 700.000 0.0 0.0
8.00000 8.50000 700.000 750.000 0.0 0.0	8.00000 8.50000 700.000 750.000 0.0 0.0
8.00000 8.50000 750.000 800.000 0.0 0.0	8.00000 8.50000 750.000 800.000 0.0 0.0
8.00000 8.50000 800.000 850.000 0.0 0.0	8.00000 8.50000 800.000 850.000 0.0 0.0
8.00000 8.50000 850.000 900.000 0.0 0.0	8.00000 8.50000 850.000 900.000 0.0 0.0
8.00000 8.50000 900.000 950.000 0.0 0.0	8.00000 8.50000 900.000 950.000 0.0 0.0
8.00000 8.50000 950.000 1000.00 0.0 0.0	8.00000 8.50000 950.000 1000.00 0.0 0.0
8.00000 8.50000 1000.00 1050.00 0.00011760960937500001 1.2204488417435248e-07	8.00000 8.50000 1000.00 1050.00 0.0 0.0
 	 
8.50000 9.00000 -50.0000 0.00000 0.0 0.0	8.50000 9.00000 -50.0000 0.00000 0.0 0.0
8.50000 9.00000 0.00000 50.0000 0.0 0.0	8.50000 9.00000 0.00000 50.0000 0.0 0.0
8.50000 9.00000 50.0000 100.000 0.0 0.0	8.50000 9.00000 50.0000 100.000 0.0 0.0
8.50000 9.00000 100.000 150.000 0.0 0.0	8.50000 9.00000 100.000 150.000 0.0 0.0
8.50000 9.00000 150.000 200.000 0.0 0.0	8.50000 9.00000 150.000 200.000 0.0 0.0
8.50000 9.00000 200.000 250.000 0.0 0.0	8.50000 9.00000 200.000 250.000 0.0 0.0
8.50000 9.00000 250.000 300.000 0.0 0.0	8.50000 9.00000 250.000 300.000 0.0 0.0
8.50000 9.00000 300.000 350.000 0.0 0.0	8.50000 9.00000 300.000 350.000 0.0 0.0
8.50000 9.00000 350.000 400.000 0.0 0.0	8.50000 9.00000 350.000 400.000 0.0 0.0
8.50000 9.00000 400.000 450.000 0.0 0.0	8.50000 9.00000 400.000 450.000 0.0 0.0
8.50000 9.00000 450.000 500.000 0.0 0.0	8.50000 9.00000 450.000 500.000 0.0 0.0
